"species","birdID","date","longitude","latitude","dayOfYear","delta","h","The_turbidity_factor","C_t","I_h","D_h","G_h"
"Black-bellied plover","19","07-07-2017",-166.3367,64.8885,188,9.9094409052245,0.00118765695410825,0.79177422562677,0.972851746677297,3.62712426849227e-48,10.4127441383225,10.4127441383225
"Black-bellied plover","19","08-07-2017",-166.3169,64.88,189,23.1918807485871,-0.723381572049295,0.786110072175443,1.00255564910028,-867.885170449161,10830.7508461998,9962.86567575067
"Black-bellied plover","19","10-07-2017",-166.327,64.8595,191,-5.86282604795129,-0.0364913421809349,0.798500139039638,1.02976512626457,-1446.73110229555,8.59006018901843,-1438.14104210653
"Black-bellied plover","19","10-07-2017",-166.3195,64.8677,191,-5.86282604795129,-0.0446913421809371,0.798500139039638,1.02976512626457,-921.668302188227,8.18238901892328,-913.485913169304
"Black-bellied plover","19","12-07-2017",-166.3118,64.8656,193,-18.6127003381665,-0.226095018036985,0.803937185645274,0.972671024630871,-427.948820592325,1.17649725309644,-426.772323339229
"Black-bellied plover","19","14-07-2017",-165.6876,61.5097,195,20.4003395399875,-1.30214036344967,0.787300494865677,0.99298060702731,-1179.08092359124,663.517896376689,-515.563027214556
"Black-bellied plover","19","14-07-2017",-165.6926,61.5055,195,20.4003395399875,-1.30634036344967,0.787300494865677,0.99298060702731,-1180.25148491277,660.740704819113,-519.510780093657
"Black-bellied plover","19","16-07-2017",-165.6719,61.2433,197,2.67894511101393,-0.444890797574891,0.794857592703192,1.03317117172926,-653.50668427202,1.09703541237692e-19,-653.50668427202
"Black-bellied plover","19","16-07-2017",-165.6731,61.2389,197,2.67894511101393,-0.440490797574895,0.794857592703192,1.03317117172926,-649.295606029245,2.56130672336229e-16,-649.295606029245
"Black-bellied plover","19","16-07-2017",-165.6649,61.2355,197,2.67894511101393,-0.437090797574895,0.794857592703192,1.03317117172926,-646.039194292651,2.2606927001371e-14,-646.039194292651
